MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
RAM,6291456,int,1,6,gettimeofday,0.0474517,0.0449138,1.40078e+14,0.00253792,5.34842,0.0457153,0.043183,1.45693e+14,0.00253236,5.53942
RAM,6291456,int,1,7,gettimeofday,0.0446141,0.0449138,1.40078e+14,0.00029974,0.67185,0.0434785,0.043183,1.45693e+14,0.00029552,0.679692
RAM,6291456,int,1,8,gettimeofday,0.0444233,0.0449138,1.40078e+14,0.000490475,1.10409,0.0438344,0.043183,1.45693e+14,0.000651479,1.48623
RAM,6291456,int,1,9,gettimeofday,0.0456316,0.0449138,1.40078e+14,0.000717831,1.5731,0.042932,0.043183,1.45693e+14,0.000250936,0.584495
RAM,6291456,int,1,10,gettimeofday,0.0432034,0.0449138,1.40078e+14,0.00171046,3.9591,0.0421114,0.043183,1.45693e+14,0.00107157,2.54461
RAM,6291456,double,1,1,gettimeofday,0.0230842,0.0219507,2.86618e+14,0.00113351,4.91035,0.0213664,0.0211417,2.97586e+14,0.000224686,1.05159
RAM,6291456,double,1,2,gettimeofday,0.022397,0.0219507,2.86618e+14,0.000446391,1.99308,0.0209897,0.0211417,2.97586e+14,0.000152016,0.724241
RAM,6291456,double,1,3,gettimeofday,0.0216064,0.0219507,2.86618e+14,0.000344205,1.59307,0.0210588,0.0211417,2.97586e+14,8.28743e-05,0.393538
RAM,6291456,double,1,4,gettimeofday,0.0217535,0.0219507,2.86618e+14,0.000197101,0.906062,0.0213151,0.0211417,2.97586e+14,0.000173426,0.813628
RAM,6291456,double,1,5,gettimeofday,0.0219865,0.0219507,2.86618e+14,3.58343e-05,0.162983,0.0212603,0.0211417,2.97586e+14,0.000118589,0.557798
RAM,6291456,double,1,6,gettimeofday,0.0216501,0.0219507,2.86618e+14,0.000300574,1.38833,0.0211012,0.0211417,2.97586e+14,4.04358e-05,0.191628
RAM,6291456,double,1,7,gettimeofday,0.0219667,0.0219507,2.86618e+14,1.60456e-05,0.073045,0.0210831,0.0211417,2.97586e+14,5.85556e-05,0.277737
RAM,6291456,double,1,8,gettimeofday,0.0219798,0.0219507,2.86618e+14,2.91586e-05,0.132661,0.0211208,0.0211417,2.97586e+14,2.08855e-05,0.0988858
RAM,6291456,double,1,9,gettimeofday,0.0216124,0.0219507,2.86618e+14,0.000338244,1.56505,0.0210066,0.0211417,2.97586e+14,0.000135088,0.643074
RAM,6291456,double,1,10,gettimeofday,0.0214698,0.0219507,2.86618e+14,0.000480819,2.23951,0.0211148,0.0211417,2.97586e+14,2.68459e-05,0.127143
RAM,8388608,int,1,1,gettimeofday,0.0598085,0.0583001,1.43887e+14,0.00150838,2.52201,0.0561876,0.0570166,1.47126e+14,0.000829005,1.47542
RAM,8388608,int,1,2,gettimeofday,0.0583076,0.0583001,1.43887e+14,7.53403e-06,0.0129212,0.0562561,0.0570166,1.47126e+14,0.000760579,1.352
RAM,8388608,int,1,3,gettimeofday,0.0575552,0.0583001,1.43887e+14,0.000744915,1.29426,0.0563469,0.0570166,1.47126e+14,0.000669742,1.1886
RAM,8388608,int,1,4,gettimeofday,0.0575361,0.0583001,1.43887e+14,0.000763988,1.32784,0.0567715,0.0570166,1.47126e+14,0.000245118,0.431763
RAM,8388608,int,1,5,gettimeofday,0.0575254,0.0583001,1.43887e+14,0.000774717,1.34674,0.0570645,0.0570166,1.47126e+14,4.78983e-05,0.0839371
RAM,8388608,int,1,6,gettimeofday,0.057641,0.0583001,1.43887e+14,0.000659084,1.14343,0.0594854,0.0570166,1.47126e+14,0.0024688,4.15026
RAM,8388608,int,1,7,gettimeofday,0.0616682,0.0583001,1.43887e+14,0.00336804,5.46156,0.0580957,0.0570166,1.47126e+14,0.00107906,1.85738
RAM,8388608,int,1,8,gettimeofday,0.0575469,0.0583001,1.43887e+14,0.00075326,1.30895,0.0562301,0.0570166,1.47126e+14,0.000786567,1.39884
RAM,8388608,int,1,9,gettimeofday,0.0571918,0.0583001,1.43887e+14,0.00110826,1.9378,0.0574675,0.0570166,1.47126e+14,0.000450826,0.784489
RAM,8388608,int,1,10,gettimeofday,0.0582204,0.0583001,1.43887e+14,7.97272e-05,0.13694,0.0562611,0.0570166,1.47126e+14,0.000755572,1.34298
RAM,8388608,double,1,1,gettimeofday,0.0310838,0.0294179,2.85153e+14,0.00166593,5.35946,0.0288389,0.0286505,2.92791e+14,0.000188398,0.653279
RAM,8388608,double,1,2,gettimeofday,0.030519,0.0294179,2.85153e+14,0.00110111,3.60796,0.0285611,0.0286505,2.92791e+14,8.93593e-05,0.31287
RAM,8388608,double,1,3,gettimeofday,0.0289268,0.0294179,2.85153e+14,0.000491047,1.69755,0.0292225,0.0286505,2.92791e+14,0.000572014,1.95744
RAM,8388608,double,1,4,gettimeofday,0.0298271,0.0294179,2.85153e+14,0.000409222,1.37198,0.0286,0.0286505,2.92791e+14,5.04971e-05,0.176563
RAM,8388608,double,1,5,gettimeofday,0.0290694,0.0294179,2.85153e+14,0.000348473,1.19876,0.0287573,0.0286505,2.92791e+14,0.000106859,0.371589
RAM,8388608,double,1,6,gettimeofday,0.0290101,0.0294179,2.85153e+14,0.000407839,1.40585,0.0282469,0.0286505,2.92791e+14,0.000403595,1.42881
RAM,8388608,double,1,7,gettimeofday,0.0288765,0.0294179,2.85153e+14,0.000541353,1.87472,0.0295331,0.0286505,2.92791e+14,0.000882673,2.98875
RAM,8388608,double,1,8,gettimeofday,0.0295384,0.0294179,2.85153e+14,0.000120497,0.407933,0.0280342,0.0286505,2.92791e+14,0.000616264,2.19826
RAM,8388608,double,1,9,gettimeofday,0.0286565,0.0294179,2.85153e+14,0.000761414,2.65704,0.0284796,0.0286505,2.92791e+14,0.000170898,0.600074
RAM,8388608,double,1,10,gettimeofday,0.0286713,0.0294179,2.85153e+14,0.000746632,2.60411,0.0282311,0.0286505,2.92791e+14,0.000419331,1.48535
SSD,4194304,int,4194304,1,gettimeofday,0.00294399,0.022313,1.79268e+08,0.019369,657.915,0.00344181,0.0368991,1.08404e+08,0.0334573,972.083
SSD,8388608,int,8388608,2,gettimeofday,0.0046432,0.022313,3.58536e+08,0.0176698,380.551,0.00649714,0.0368991,2.16808e+08,0.0304019,467.927
SSD,12582912,int,12582912,3,gettimeofday,0.00658202,0.022313,5.37804e+08,0.0157309,238.999,0.00936508,0.0368991,3.25211e+08,0.027534,294.007
SSD,16777216,int,16777216,4,gettimeofday,0.00892091,0.022313,7.17072e+08,0.0133921,150.12,0.0178208,0.0368991,4.33615e+08,0.0190782,107.056
SSD,20971520,int,20971520,5,gettimeofday,0.0108881,0.022313,8.9634e+08,0.0114249,104.93,0.0231452,0.0368991,5.42019e+08,0.0137539,59.4243
SSD,25165824,int,25165824,6,gettimeofday,0.0129869,0.022313,1.07561e+09,0.00932606,71.8113,0.0214241,0.0368991,6.50423e+08,0.015475,72.2319
SSD,29360128,int,29360128,7,gettimeofday,0.015007,0.022313,1.25488e+09,0.00730594,48.6835,0.0207262,0.0368991,7.58827e+08,0.0161729,78.031
SSD,33554432,int,33554432,8,gettimeofday,0.0178039,0.022313,1.43414e+09,0.00450906,25.3262,0.023891,0.0368991,8.67231e+08,0.0130081,54.4477
SSD,37748736,int,37748736,9,gettimeofday,0.0199249,0.022313,1.61341e+09,0.00238808,11.9854,0.0304401,0.0368991,9.75634e+08,0.00645897,21.2186
