PModel,Task,OpType,Opt,InsCount,Timer,Time,LNum,AvTime,AbsError,RelError,TaskPerf
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.00040555,4,0.000411081,5.53131e-06,1.3639%,2.46579e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000394106,5,0.000411081,1.69754e-05,4.30732%,2.53739e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000373125,6,0.000411081,3.79562e-05,10.1725%,2.68007e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000375509,7,0.000411081,3.55721e-05,9.47302%,2.66305e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000384092,8,0.000411081,2.6989e-05,7.02669%,2.60354e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000377655,9,0.000411081,3.34263e-05,8.85101%,2.64792e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,log,int,O2,10,gettimeofday,0.000379562,10,0.000411081,3.15189e-05,8.30402%,2.63461e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000377178,1,0.000444865,6.7687e-05,17.9456%,2.65127e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000379562,2,0.000444865,6.53028e-05,17.2048%,2.63461e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000450373,3,0.000444865,5.50747e-06,1.22287%,2.22038e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000437737,4,0.000444865,7.12872e-06,1.62854%,2.28448e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000761747,5,0.000444865,0.000316882,41.5994%,1.31277e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000387669,6,0.000444865,5.71966e-05,14.754%,2.57952e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000365019,7,0.000444865,7.98464e-05,21.8746%,2.73958e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000509739,8,0.000444865,6.48737e-05,12.7268%,1.96179e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000397921,9,0.000444865,4.69446e-05,11.7975%,2.51306e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,double,O3,10,gettimeofday,0.000381708,10,0.000444865,6.31571e-05,16.5459%,2.6198e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000368357,1,0.000408459,4.0102e-05,10.8867%,2.71476e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000374317,2,0.000408459,3.41415e-05,9.12102%,2.67153e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000373602,3,0.000408459,3.48568e-05,9.32993%,2.67665e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000419617,4,0.000408459,1.1158e-05,2.65909%,2.38313e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000397682,5,0.000408459,1.07765e-05,2.70983%,2.51457e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000545979,6,0.000408459,0.00013752,25.1878%,1.83157e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000410318,7,0.000408459,1.85966e-06,0.453225%,2.43713e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000393629,8,0.000408459,1.48296e-05,3.76741%,2.54046e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000385284,9,0.000408459,2.31743e-05,6.01485%,2.59549e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,sin,int,O3,10,gettimeofday,0.000415802,10,0.000408459,7.34329e-06,1.76606%,2.40499e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000431299,1,0.0004951,6.38008e-05,14.7927%,2.31858e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000741243,2,0.0004951,0.000246143,33.2068%,1.34908e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000556946,3,0.0004951,6.18458e-05,11.1045%,1.79551e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000399113,4,0.0004951,9.59873e-05,24.0502%,2.50556e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000628471,5,0.0004951,0.000133371,21.2215%,1.59116e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.00048995,6,0.0004951,5.14984e-06,1.05109%,2.04102e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000537634,7,0.0004951,4.25339e-05,7.91131%,1.86e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000431538,8,0.0004951,6.35624e-05,14.7293%,2.3173e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000366449,9,0.0004951,0.000128651,35.1074%,2.72889e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,double,O3,10,gettimeofday,0.000368357,10,0.0004951,0.000126743,34.4078%,2.71476e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000418186,1,0.000453424,3.52383e-05,8.42645%,2.39128e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000401258,2,0.000453424,5.2166e-05,13.0006%,2.49216e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000658512,3,0.000453424,0.000205088,31.1441%,1.51857e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000586987,4,0.000453424,0.000133562,22.7539%,1.70362e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000413418,5,0.000453424,4.00066e-05,9.67705%,2.41886e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000461817,6,0.000453424,8.39233e-06,1.81724%,2.16536e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000414133,7,0.000453424,3.92914e-05,9.48762%,2.41468e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000368595,8,0.000453424,8.48293e-05,23.0142%,2.713e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000426054,9,0.000453424,2.73705e-05,6.42417%,2.34712e+07
Intel(R)_Core(TM)_i5-8250U_CPU_@_1.60GHz,cos,int,O3,10,gettimeofday,0.000385284,10,0.000453424,6.814e-05,17.6856%,2.59549e+07
